name,type,zone,use,poison,bloom
Ironweed,Herb,9-11,Edible,No,60-120
Jack-in-the-pulpit,Herb,3-9,Edible,No,365-730
Java Moss,Herb,4-9,Edible,No,21-30
Jerusalem Artichoke,Herb,4-9,Edible,No,120-150
Joe-Pye Weed,Herb,4-9,Edible,No,60-120
Juniper,Herb,4-7,Edible,No,1825-3650
Kalanchoe,Herb,3-9,Edible,No,90-120
Kale,Herb,3-9,Edible,No,50-70
Kiwi,Fruit,5-9,Edible,No,1095-1460
Konjac,Herb,8-11,Edible,No,180-210
Lamb's Lettuce,Vegetable,5-9,Edible,No,50-60
Lemon Verbena,Herb,8-10,Edible,No,90-120
Leren,Herb,10-12,Edible,No,90-120
Long Pepper,Vegetable,10-12,Edible,No,1095-1460
Lotus,Vine,6-10,Edible,No,90-120
Lovage Seed,Herb,4-9,Edible,No,90-120
Lupin Root,Herb,6-9,Edible,No,90-120
Maca,Herb,8-11,Edible,No,180-210
Malanga,Herb,9-12,Edible,No,210-240
Marama Bean,Herb,9-11,Edible,No,120-180
Mashua,Herb,8-11,Edible,No,120-150
Mauka,Herb,8-11,Edible,No,180-210
Meadow Garlic,Herb,4-9,Edible,No,60-90
Melegueta Pepper,Herb,10-11,Edible,No,1095-1460
Moringa,Vegetable,9-11,Edible,No,365-730
Moth Bean,Vegetable,8-12,Edible,No,60-80
Mung Bean,Vegetable,8-12,Edible,No,60-70
Mustard Seed,Herb,6-11,Edible,No,365-730
Nigella,Herb,6-10,Edible,No,90-120
Nopal (Cactus Pad),Vegetable,8-11,Edible,No,365-730
Oca,Vegetable,8-11,Edible,No,150-180
Paprika,Herb,8-10,Edible,No,60-120
Pea Shoots,Vegetable,2-11,Edible,No,30-40
Perilla,Vegetable,2-11,Edible,No,60-90
Pink Ginger,Herb,9-11,Edible,No,365-730
Poppy Seed,Herb,6-10,Edible,No,90-120
Potato Onion,Herb,3-10,Edible,No,90-120
Prairie Turnip,Herb,4-8,Edible,No,90-120
Purple Carrot,Herb,3-10,Edible,No,60-80
Purple Yam,Vegetable,9-12,Edible,No,180-210
Ramps,Herb,3-8,Edible,No,60-90
Red Beet,Herb,2-10,Edible,No,55-70
Roman Chamomile,Herb,4-9,Edible,No,60-90
Romanesco,Vegetable,2-11,Edible,No,90-100
Rutabaga,Vegetable,2-10,Edible,No,80-100
Rutabaga,Vegetable,2-10,Edible,No,80-100
Salsify,Vegetable,5-9,Edible,No,120-150
Savory (Summer),Herb,6-9,Edible,No,50-60
Scorzonera,Vegetable,5-9,Edible,No,120-150
Skirret,Herb,4-8,Edible,No,120-150
Snake Gourd,Vegetable,8-11,Edible,No,60-90
Soaproot,Herb,7-10,Edible,No,90-120
Sugar Beet,Herb,2-10,Edible,No,55-70
Sugar Root,Herb,4-9,Edible,No,90-120
Summer Savory,Herb,6-9,Edible,No,50-60
Sunchoke (Jerusalem Artichoke),Vegetable,4-9,Edible,No,120-150
Swede,Herb,3-9,Edible,No,80-100
Sweet Autumn Clematis,Vegetable,4-8,Edible,No,365-730
Sweet Cicely,Herb,4-8,Edible,No,90-120
Sweet Corn,Vegetable,4-9,Edible,No,60-100
Sweet Pea,Vegetable,5-9,Edible,No,60-90
Sweet Potato,Vegetable,4-9,Edible,No,90-120
Szechuan Leaf (Toothache Plant),Herb,9-11,Edible,No,60-90
Szechuan Lovage,Herb,4-9,Edible,No,90-120
Tabasco Pepper,Herb,10-11,Edible,No,60-120
Tannia,Herb,9-12,Edible,No,210-240
Tat Soi,Vegetable,4-10,Edible,No,30-45
Turmeric,Herb,8-11,Edible,No,365-730
Turnip Greens,Vegetable,2-11,Edible,No,30-60
Ulluco,Vegetable,9-11,Edible,No,150-180
Vanilla,Vine,11-12,Edible,No,1095-1460
Vietnamese Coriander,Herb,8-11,Edible,No,60-90
Water Chestnut,Vegetable,9-11,Edible,No,90-120
Water Pepper,Herb,5-9,Edible,No,60-90
Water Yam,Vine,9-12,Edible,No,210-270
White Pepper,Vegetable,11-12,Edible,No,1095-1460
Wild Carrot,Herb,3-10,Edible,No,60-80
Wild Garlic,Herb,4-9,Edible,No,60-90
Wild Leek,Herb,3-8,Edible,No,60-90
Wild Yam,Vegetable,4-9,Edible,No,210-270
Winged Bean,Vegetable,10-11,Edible,No,60-90
Winter Savory,Herb,6-8,Edible,No,50-60
Wood Avens,Herb,4-9,Edible,No,60-90
Yacon,Herb,8-11,Edible,No,180-210
Yacón,Herb,8-11,Edible,No,180-210
Yam Bean,Vine,10-12,Edible,No,90-120
Yam Daisy,Herb,8-10,Edible,No,90-120
Yampah,Herb,5-9,Edible,No,90-120
Yardlong Bean,Vegetable,10-11,Edible,No,60-90
Yautia,Herb,9-12,Edible,No,180-240
Yautía blanca,Herb,9-12,Edible,No,180-240
Yellow Yam,Vegetable,9-12,Edible,No,210-270
