Plant_Name,Scientific_Name,Plant_Type,Life_Cycle,Soil_Type,Sunlight_Needs,Water_Needs,Use,Poisonous,Preferred_Zone,Soil_PH,Size,Spacing
Allspice,Pimenta dioica,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,10-12,6.0-7.0,20-40 ft,10-15 ft
Almond,Prunus dulcis,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,7-9,6.0-7.5,10-30 ft,15-20 ft
Alocasia,Alocasia spp.,Herb,Perennial,Sandy,Full Sun,Low,Edible,No,5-9,6.5-7.5,1-3 ft,18-24 in
Aloe,Aloe spp.,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,2-11,6.0-7.5,5-10 ft,12-18 in
Aloe aristata,Aristaloe aristata,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-9,5.5-7.0,50-80 ft,30-40 ft
Aloe Vera,Aloe vera,Vegetable,Annual,Loam,Full Sun,High,Edible,No,4-11,5.5-7.0,1-6 ft,12-18 in
Amaranth,Amaranthus spp.,Vegetable,Annual,Loam,Full Sun,Low,Edible,No,2-11,6.0-7.5,2-8 ft,6-8 in
American Basswood,Tilia americana,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-8,6.0-7.5,60-80 ft,30-50 ft
American Beautyberry,Callicarpa americana,Vegetable,Annual,Loam,Full Sun,High,Edible,No,3-9,6.0-6.8,1-2 ft,36-60 in
American Beech,Fagus grandifolia,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,5.0-6.5,50-80 ft,30-40 ft
American Elm,Ulmus americana,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,5-11,6.0-6.8,2-3 ft,12-18 in
American Groundnut,Apios americana,Vine,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-7.5,6-12 ft,12-18 in
American Hazelnut,Corylus americana,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-8,6.0-7.0,2-3 ft,24-36 in
American Hornbeam,Carpinus caroliniana,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,No,3-9,6.0-7.5,20-40 ft,20-30 ft
American Sycamore,Platanus occidentalis,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,4-9,6.0-8.0,60-80 ft,30-50 ft
Anacharis,Elodea canadensis,Flower,Perennial,Sandy,Full Sun,Medium,Ornamental,No,3-8,6.0-7.0,10-24 in,4-6 in
Anemone,Anemone spp.,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,4-8,6.0-7.0,2-4 ft,12-18 in
Angel's Trumpet,Brugmansia spp.,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,9-11,6.0-7.5,6-20 ft,3-6 ft
Angelica,Angelica archangelica,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,3-8,6.5-7.5,1-2 ft,18-24 in
Anise,Pimpinella anisum,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,No,5-9,5.5-6.5,3-10 ft,3-10 ft
Anise Hyssop,Agastache foeniculum,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,2-4 ft,12-18 in
Annatto,Bixa orellana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-12,6.0-7.5,10-20 ft,6-10 ft
Anthurium,Anthurium andraeanum,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-8,4.5-6.0,3-15 ft,3-6 ft
Apios,Apios americana,Vine,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-7.5,6-12 ft,12-18 in
Apple,Malus domestica,Tree,Perennial,Loam,Partial Shade,Low,Ornamental,No,5-9,6.5-7.5,2-6 ft,2-3 ft
Apricot,Prunus armeniaca,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-8,6.0-7.5,10-20 ft,15-20 ft
Aptenia,Aptenia cordifolia,Vine,Perennial,Loam,Full Sun,Medium,Edible,No,4-10,5.5-7.0,10-20 ft,6-10 ft
Areca Palm,Dypsis lutescens,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-9,6.5-7.0,6-12 ft,3-4 ft
Arizona Walnut,Juglans major,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,7-9,6.0-7.5,30-60 ft,30-40 ft
Arracacha,Arracacia xanthorrhiza,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,9-11,5.5-7.5,2-3 ft,12-18 in
Arrowhead,Sagittaria latifolia,Cactus,Perennial,Sandy,Full Sun,Low,Edible,No,6-10,6.0-7.5,3-6 ft,3-6 ft
Arrowhead Vine,Syngonium podophyllum,Vegetable,Annual,Loam,Full Sun,High,Edible,No,2-9,6.0-7.5,6-12 in,2-4 in
Arrowroot,Maranta arundinacea,Vegetable,Perennial,Loam,Partial Shade,Medium,Edible,No,9-11,5.5-7.0,3-6 ft,12-18 in
Arrowwood Viburnum,Viburnum dentatum,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,2-8,5.0-7.0,6-10 ft,4-8 ft
Artichoke,Cynara scolymus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,6.0-7.5,2-3 ft,24-36 in
Arugula,Eruca vesicaria,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-6.5,6-12 in,12-18 in
Ash Meadows Gumplant,Grindelia fraxino-pratensis,Herb,Perennial,Loam,Full Sun,Low,Ornamental,N/A,9-10,7.0-8.5,1-2 ft,12-18 in
Asian Pear,Pyrus pyrifolia,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.0,10-30 ft,15-20 ft
Asparagus,Asparagus officinalis,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,6.0-7.0,15-25 ft,12-20 ft
Asparagus Pea,Tetragonolobus purpureus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,6-11,6.0-7.5,1-2 ft,8-10 in
Aster,Aster spp.,Herb,Perennial,Sandy,Full Sun,Low,Edible,No,8-10,6.0-7.5,2-4 ft,18-24 in
Astilbe,Astilbe spp.,Herb,Perennial,Loam,Full Sun,High,Edible,No,3-11,6.0-7.0,1-2 ft,12-18 in
Attenborough’s Pitcher Plant,Nepenthes attenboroughii,Carnivorous,Perennial,Peat,Partial Shade,High,Ornamental,No,11-12,5.0-6.5,2-4 ft,18-36 in
Australian Sundew,Drosera binata,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,9-12,4.0-6.0,6-18 in,6-12 in
Autumn Crocus,Colchicum autumnale,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-8,6.0-7.0,6-12 in,3-6 in
Avocado,Persea americana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,9-11,6.0-7.5,30-60 ft,20-30 ft
Azalea,Rhododendron spp.,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,No,6-11,6.5-7.5,6-18 in,8-12 in
Azolla,Azolla filiculoides,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,6-9,4.5-6.0,2-6 ft,2-5 ft
Baby's Breath,Gypsophila paniculata,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.0-7.0,2-4 ft,18-24 in
Bachelor’s Button,Centaurea cyanus,Flower,Annual,Loam,Full Sun,Low,Ornamental,No,2-11,6.0-7.0,1-2 ft,6-12 in
Bacopa,Bacopa monnieri,Flower,Annual,Loam,Full Sun,Medium,Ornamental,No,7-10,6.2-7.0,1-3 ft,6-12 in
Bael,Aegle marmelos,Tree,Perennial,Loam,Full Sun,Low,Edible,No,10-11,5.0-7.5,20-40 ft,15-20 ft
Bald Cypress,Taxodium distichum,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-10,5.5-7.5,50-80 ft,15-20 ft
Baldwin’s Eryngo,Eryngium baldwinii,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,8-10,6.0-7.5,1-2 ft,12-18 in
Balloon Flower,Platycodon grandiflorus,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-8,5.5-7.5,1-2 ft,12-18 in
Bamboo Shoot,Bambusa spp.,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,8-11,5.5-6.5,10-70 ft,2-4 ft
Bamboo Shoots,Bambusa spp.,Grass,Perennial,Loam,Full Sun,Medium,Edible,No,7-11,5.0-7.0,10-30 ft,24-36 in
Baneberry,Actaea spp.,Herb,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,3-8,5.0-7.0,1-3 ft,12-18 in
Barrel Cactus,Ferocactus spp.,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,5-9,5.5-7.0,4-8 ft,3-5 ft
Bartram’s Ixia,Calydorea caelestina,Herb,Perennial,Loam,Full Sun,Medium,Ornamental,N/A,7-9,5.5-7.0,1-2 ft,6-12 in
Basil,Ocimum basilicum,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,8-10,6.0-7.0,3-4 ft,18-24 in
Basil (Holy),Ocimum tenuiflorum,Herb,Annual,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,1-2 ft,8-12 in
Batata,Ipomoea batatas,Vine,Annual,Loam,Full Sun,Medium,Edible,No,8-11,5.5-6.5,1-2 ft,12-18 in
Bay Laurel,Laurus nobilis,Vegetable,Biennial,Loam,Full Sun,Medium,Edible,No,2-10,6.0-7.0,1-2 ft,4-6 in
Beaked Hazelnut,Corylus cornuta,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-7.5,8-15 ft,8-10 ft
Bear Paw,Cotyledon tomentosa,Succulent,Perennial,Sandy,Full Sun,Low,Ornamental,Yes,10-11,6.0-7.5,1-2 ft,6-12 in
Bee Balm,Monarda didyma,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-7.5,60-80 ft,30-40 ft
Beet,Beta vulgaris,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.5-8.0,20-30 ft,15-20 ft
Begonia,Begonia spp.,Tree,Perennial,Loam,Partial Shade,Medium,Ornamental,No,5-9,5.5-7.0,15-30 ft,15-20 ft
Begonia rex,Begonia rex,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,5-8,6.5-7.5,6-10 ft,4-6 ft
Belgian Endive,Cichorium intybus var. foliosum,Vegetable,Biennial,Loam,Full Sun,Medium,Edible,No,4-7,6.0-7.5,6-12 in,6-8 in
Bell Pepper,Capsicum annuum,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-8,6.0-7.5,4-6 ft,3-5 ft
Belladonna Lily,Amaryllis belladonna,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,7-10,6.0-7.0,1-2 ft,8-12 in
Bermudagrass,Cynodon dactylon,Grass,Perennial,Loam,Full Sun,Low,Ornamental,No,7-10,5.5-7.0,6-12 in,12-18 in
Big Bluestem,Andropogon gerardii,Tree,Perennial,Loam,Full Sun,Low,Ornamental,No,5-9,6.0-7.0,4-10 ft,4-6 ft
Bigtooth Aspen,Populus grandidentata,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,2-6,5.5-7.5,50-80 ft,20-30 ft
Bird of Paradise,Strelitzia reginae,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-7,6.5-7.0,8-15 ft,6-12 ft
Bird's Nest Fern,Asplenium nidus,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.0-7.0,1-4 ft,18-24 in
Bishop’s Cap,Astrophytum myriostigma,Flower,Perennial,Loam,Full Sun,High,Ornamental,No,7-10,6.0-6.5,3-6 ft,12-18 in
Bitter Melon,Momordica charantia,Vegetable,Annual,Loam,Full Sun,Medium,Edible,Yes,9-11,5.5-6.7,6-8 ft,12-18 in
Bittersweet,Solanum dulcamara,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-8,6.0-7.0,20-30 ft,6-10 ft
Bittersweet Vine,Celastrus scandens,Vine,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,3-8,6.0-7.5,20-30 ft,5-10 ft
Black Ash,Fraxinus nigra,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-7,5.5-8.0,40-70 ft,20-30 ft
Black Bean,Phaseolus vulgaris,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,6-10,6.5-6.8,1-2 ft,18-24 in
Black Cherry,Prunus serotina,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,3-9,5.5-7.0,50-80 ft,30-40 ft
Black Chokeberry,Aronia melanocarpa,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,6.0-7.0,1-2.5 ft,18-24 in
Black Gum,Nyssa sylvatica,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,5.0-7.0,35-60 ft,20-30 ft
Black Locust,Robinia pseudoacacia,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,1-2 ft,12-18 in
Black Mustard,Brassica nigra,Herb,Annual,Loam,Full Sun,Medium,Edible,No,6-11,6.0-7.5,1-2 ft,6-12 in
Black Nightshade,Solanum nigrum,Herb,Annual,Loam,Full Sun,Medium,Ornamental,Yes,4-10,5.5-7.5,1-3 ft,12-18 in
Black Pepper,Piper nigrum,Vegetable,Perennial,Loam,Partial Shade,High,Edible,No,11-12,5.5-7.0,6-30 ft,3-5 ft
Black Salsify,Scorzonera hispanica,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,6-9,6.0-7.5,12-24 in,2-4 in
Black Sapote,Diospyros digyna,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,25-50 ft,15-25 ft
Black Spruce,Picea mariana,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,2-6,4.5-6.5,40-70 ft,10-15 ft
Black Walnut,Juglans nigra,Tree,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-9,6.0-7.0,60-80 ft,40-60 ft
Black-eyed Susan,Rudbeckia hirta,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,2-9,6.0-7.5,2-3 ft,18-24 in
Black-eyed Susan Vine,Thunbergia alata,Vine,Annual,Loam,Full Sun,Medium,Ornamental,No,10-11,5.5-7.5,3-8 ft,1-2 ft
Blackberry,Rubus fruticosus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,2-11,6.0-7.0,1-2 ft,18-24 in
Blackcurrant,Ribes nigrum,Vegetable,Annual,Loam,Full Sun,Low,Edible,No,3-8,6.0-7.0,1-2 ft,4-6 in
Bladderwort,Utricularia vulgaris,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,4-10,5.0-7.0,6-24 in,12-24 in
Blanket Flower,Gaillardia pulchella,Flower,Perennial,Loam,Full Sun,Low,Ornamental,No,3-10,6.0-7.5,1-3 ft,12-18 in
Blazing Star,Liatris spicata,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-9,5.5-7.0,2-4 ft,12-18 in
Bleeding Heart,Lamprocapnos spectabilis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.0,1-2 ft,4-6 in
Bloodroot,Sanguinaria canadensis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-10,6.0-7.0,1-2 ft,4-6 in
Blue Chalksticks,Senecio serpens,Vegetable,Annual,Loam,Full Sun,Medium,Edible,Yes,3-10,5.0-6.5,1-2 ft,12 in
Blue Cohosh,Caulophyllum thalictroides,Herb,Perennial,Loam,Partial Shade,Medium,Edible,Yes,3-8,5.0-7.0,1-3 ft,12-18 in
Blue False Indigo,Baptisia australis,Vegetable,Annual,Sandy,Full Sun,High,Edible,No,6-11,5.5-6.5,1-2 ft,12 in
Blue Fescue,Festuca glauca,Grass,Perennial,Loam,Full Sun,Low,Ornamental,No,4-8,5.5-7.5,6-12 in,12 in
Blue Flag Iris,Iris versicolor,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,2-10,6.0-7.0,6-12 in,1-2 in
Blue Grama,Bouteloua gracilis,Grass,Perennial,Loam,Full Sun,Low,Ornamental,No,3-10,5.5-7.5,1-2 ft,12-18 in
Blue-eyed Grass,Sisyrinchium angustifolium,Vegetable,Biennial,Loam,Full Sun,Medium,Edible,No,2-10,6.0-7.5,12-18 in,2-4 in
Bluebell,Hyacinthoides non-scripta,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,4-8,6.0-7.0,6-12 in,3-6 in
Blueberry,Vaccinium corymbosum,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,6-12 in,2-4 in
Bog Bean,Menyanthes trifoliata,Aquatic,Perennial,Peat,Full Sun,High,Ornamental,No,3-8,5.0-7.5,1-2 ft,2-3 ft
Boneset,Eupatorium perfoliatum,Vegetable,Biennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-6.5,12-18 in,2-4 in
Boniato,Ipomoea batatas,Vine,Annual,Loam,Full Sun,Medium,Edible,No,8-11,5.5-6.5,1-2 ft,12-18 in
Borage,Borago officinalis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,5-11,6.0-6.8,2-6 ft,12-18 in
Boston Fern,Nephrolepis exaltata,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,5-12,5.5-7.0,2-4 ft,18-24 in
Boston Ivy,Parthenocissus tricuspidata,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,5-11,6.0-6.8,1.5-3 ft,18-24 in
Bottle Palm,Hyophorbe lagenicaulis,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,7-11,6.5-7.5,3-6 ft,24-36 in
Bottlebrush Grass,Elymus hystrix,Vegetable,Perennial,Sandy,Full Sun,Medium,Edible,No,3-8,6.5-7.5,3-5 ft,12-18 in
Bougainvillea,Bougainvillea glabra,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,5.5-6.5,3-6 ft,2-3 ft
Boxelder,Acer negundo,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,2-9,6.0-7.5,30-60 ft,20-30 ft
Boxwood,Buxus sempervirens,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,5-8,6.0-7.0,15-30 ft,15-25 ft
Boysenberry,Rubus ursinus × Rubus idaeus,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-6.5,15-20 ft,15-20 ft
Bracken Fern,Pteridium aquilinum,Fern,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-9,5.0-7.0,1-5 ft,18-24 in
Brazil Nut,Bertholletia excelsa,Tree,Perennial,Loam,Full Sun,High,Edible,No,11-12,5.5-6.5,100-160 ft,50-60 ft
Breadfruit,Artocarpus altilis,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.4,40-80 ft,25-40 ft
Breadnut,Brosimum alicastrum,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.4,40-80 ft,25-40 ft
Broad Bean,Vicia faba,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-11,6.0-7.0,2-4 ft,6-8 in
Broccoli,Brassica oleracea var. italica,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,15-30 ft,15-20 ft
Brodiaea,Brodiaea spp.,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,6-10,5.5-7.5,1-2 ft,6-12 in
Bromeliad,Bromeliaceae spp.,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,7-10,6.0-6.5,10-30 ft,10-20 ft
Brown Mustard,Brassica juncea,Herb,Annual,Loam,Full Sun,Medium,Edible,No,6-11,6.0-7.5,1-2 ft,6-12 in
Brunnera,Brunnera macrophylla,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-6.5,3-6 ft,4-5 ft
Brussels Sprouts,Brassica oleracea var. gemmifera,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-6.8,3-5 ft,3-4 ft
Buckeye,Aesculus glabra,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-9,6.0-7.5,20-40 ft,10-20 ft
Buffalograss,Buchloe dactyloides,Grass,Perennial,Loam,Full Sun,Low,Ornamental,No,3-9,6.0-7.5,6-12 in,12-18 in
Bulrush,Schoenoplectus spp.,Fruit,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-8,5.5-6.5,6-12 ft,6-10 ft
Bun Long Taro,Colocasia esculenta,Herb,Perennial,Loam,Partial Shade,High,Edible,No,8-11,5.5-6.5,3-6 ft,18-24 in
Bunya Bunya,Araucaria bidwillii,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.0-7.0,100-150 ft,40-60 ft
Bur Oak,Quercus macrocarpa,Tree,Perennial,Loam,Full Sun,Medium,Timber,No,3-8,6.0-7.5,60-80 ft,30-50 ft
Bur-reed,Sparganium erectum,Aquatic,Perennial,Clay,Full Sun,High,Ornamental,No,4-10,6.0-8.0,2-4 ft,2-3 ft
Burdock,Arctium lappa,Herb,Biennial,Loam,Full Sun,Medium,Edible,Yes,4-9,6.0-7.0,3-6 ft,12-18 in
Burro’s Tail,Sedum morganianum,Succulent,Perennial,Sandy,Full Sun,Low,Ornamental,No,9-11,6.0-7.5,1-2 ft,12-18 in
Buttercup,Ranunculus spp.,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,4-8,5.5-7.5,1-2 ft,6-12 in
Butterfly Bush,Buddleja davidii,Fruit,Perennial,Sandy,Full Sun,Low,Edible,No,5-9,6.8-8.1,6-10 ft,3-5 ft
Butterfly Weed,Asclepias tuberosa,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,6-9,6.0-7.0,60-80 ft,35-50 ft
Butternut,Juglans cinerea,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.5,40-70 ft,40-50 ft
Butternut Squash,Cucurbita moschata,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,Yes,4-9,6.0-7.5,50-80 ft,40-50 ft
Butterwort,Pinguicula vulgaris,Carnivorous,Perennial,Peat,Partial Shade,High,Ornamental,No,3-8,5.0-7.0,2-6 in,4-8 in
Buttonbush,Cephalanthus occidentalis,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,4-8,6.0-7.0,60-80 ft,30-40 ft
Cabbage,Brassica oleracea var. capitata,Vegetable,Perennial,Sandy,Full Sun,Low,Ornamental,No,3-8,5.5-6.0,60-80 ft,20-30 ft
Cabomba,Cabomba caroliniana,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,2-8,5.5-7.0,60-80 ft,20-30 ft
Cacao,Theobroma cacao,Tree,Perennial,Loam,Partial Shade,High,Edible,No,10-11,5.5-7.0,15-30 ft,10-20 ft
Caladium,Caladium bicolor,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,6-9,6.0-7.5,40-80 ft,20-30 ft
Calathea,Calathea spp.,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,Yes,3-9,5.0-6.0,3-20 ft,3-6 ft
Calendula,Calendula officinalis,Tree,Perennial,Loam,Partial Shade,Low,Ornamental,Yes,5-8,6.0-7.5,2-20 ft,2-4 ft
Calla Lily,Zantedeschia aethiopica,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,Yes,8-10,6.0-7.5,1-3 ft,12-18 in
Camassia,Camassia quamash,Herb,Perennial,Loam,Full Sun,Medium,Edible,No,4-9,5.5-7.5,1-3 ft,6-12 in
Canada Anemone,Anemone canadensis,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,No,7-10,6.0-8.0,40-70 ft,3-6 ft
Canada Wild Rye,Elymus canadensis,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,6-9,5.5-6.5,60-80 ft,20-30 ft
Canby’s Dropwort,Oxypolis canbyi,Herb,Perennial,Clay,Full Sun,High,Ornamental,N/A,7-9,6.0-7.5,1-2 ft,12-18 in
Candelabra Cactus,Echinopsis pachanoi,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,Yes,10-11,6.0-7.5,3-6 ft,2-3 ft
Candytuft,Iberis sempervirens,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.0-7.5,60-80 ft,30-50 ft
Canistel,Pouteria campechiana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,30-60 ft,20-30 ft
Canna,Canna indica,Tree,Perennial,Loam,Full Sun,Medium,Ornamental,No,3-9,4.5-7.0,40-60 ft,25-40 ft
Cantaloupe,Cucumis melo var. cantalupensis,Vegetable,Annual,Loam,Full Sun,High,Edible,No,4-9,6.0-6.8,6-12 in,8-12 in
Cape Sundew,Drosera capensis,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,9-11,4.0-6.0,4-12 in,4-8 in
Caraway,Carum carvi,Herb,Biennial,Loam,Full Sun,Medium,Edible,No,4-10,6.0-7.5,1-2 ft,6-8 in
Cardamom,Elettaria cardamomum,Herb,Perennial,Loam,Partial Shade,High,Edible,No,10-12,5.0-6.5,6-15 ft,2-4 ft
Cardinal Flower,Lobelia cardinalis,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-11,6.0-7.0,6-12 in,6-8 in
Cardoon,Cynara cardunculus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-9,6.0-7.5,6-12 in,6-8 in
Carnation,Dianthus caryophyllus,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,4-9,6.0-7.5,6-12 in,6-8 in
